,,,畢業生總計,已升學總計,公立大學日間部,公立大學進修學士班,私立大學日間部,私立大學進修學士班,公立二專日間部,公立二專夜間部,私立二專日間部,私立二專夜間部,警察大學,警察專科學校,軍事院校,赴國外、大陸就讀,其他學校
縣市立,綜合高中,設計群,147,139,10,4,119,5,0,0,0,0,0,0,0,1,0
縣市立,綜合高中,農業群,19,19,9,0,10,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,家政群,20,20,9,0,11,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,餐旅群,102,73,14,0,59,0,0,0,0,0,0,0,0,0,0
縣市立,實用技能學程,機械群,46,32,0,20,3,9,0,0,0,0,0,0,0,0,0
縣市立,實用技能學程,動力機械群,27,12,0,0,1,11,0,0,0,0,0,0,0,0,0
縣市立,實用技能學程,電機與電子群,81,34,4,13,10,7,0,0,0,0,0,0,0,0,0
縣市立,實用技能學程,土木與建築群,37,18,2,7,7,1,0,1,0,0,0,0,0,0,0
縣市立,實用技能學程,商業與管理群,122,71,4,6,20,38,0,0,0,3,0,0,0,0,0
縣市立,實用技能學程,設計群,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,實用技能學程,餐旅群,31,14,0,0,9,5,0,0,0,0,0,0,0,0,0
縣市立,實用技能學程,美容造型群,34,23,0,0,20,2,0,0,0,0,0,0,1,0,0
私立,普通科,普通科,28518,27461,6099,72,19636,647,4,0,3,1,16,141,264,558,20
私立,職業科,機械群,1739,1358,161,48,929,198,3,2,0,0,4,2,11,0,0
私立,職業科,動力機械群,3972,1882,75,67,1214,410,3,1,17,33,0,0,52,10,0
私立,職業科,電機與電子群,12542,9751,759,177,7132,1363,15,22,48,80,0,5,125,7,18
私立,職業科,土木與建築群,212,172,19,1,125,20,1,0,1,0,0,1,3,1,0
私立,職業科,商業與管理群,13321,11475,829,367,8841,1115,24,52,47,84,0,0,95,10,11
私立,職業科,外語群,5197,4940,479,127,3974,257,4,0,5,6,3,1,31,51,2
