,,"畢業生
總計","未升學
未就業
計",正在接受職業訓練,"正在軍中
服役","需要工作
而未找到","補習或
準備升學","健康不良
在家休養",準備出國,"其他
","已升學
計","公立
大學
日間部","公立
大學
進修
學士班","私立
大學
日間部","私立
大學
進修
學士班","公立
二專
日間部","公立
二專
夜間部","私立
二專
日間部","私立
二專
夜間部","警察
大學","警察
專科
學校","軍事
院校","赴國外
、大陸
就讀","其他
學校","已就業
計","農、
林、
漁、
牧業","礦業及
土石
採取業",製造業,"電力及
燃氣
供應業","用水供
應及
污染
整治業",營造業,"批發及
零售業","運輸及
倉儲業","住宿及
餐飲業","資訊及
通訊
傳播業","金融
及
保險業","不動產
業","專業、
科學及
技術
服務業","支援
服務業","公共行
政及國
防；強
制性社
會安全","教育
服務業","醫療保
健及社
會工作
服務業","藝術、
娛樂及
休閒
服務業","其他
服務業"
國立,新北市,504,5,0,1,0,4,0,0,0,494,101,0,358,3,0,0,0,0,0,1,0,16,15,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0
國立,臺北市,1355,42,0,6,0,32,0,1,3,1298,944,5,303,2,0,0,0,0,2,1,8,33,0,13,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,5,5
國立,臺中市,11254,364,14,46,68,198,6,5,27,10413,5933,270,3772,263,2,1,0,1,4,28,100,39,0,452,11,3,93,2,0,11,32,7,120,1,1,1,50,24,4,8,5,5,74
國立,臺南市,10825,400,20,144,36,176,13,3,8,9837,3865,121,5031,537,29,1,2,3,6,48,170,24,0,512,19,1,106,9,1,14,34,12,73,4,0,0,19,51,105,1,1,9,53
國立,高雄市,4585,171,7,73,15,71,0,0,5,4287,1693,457,1845,88,7,0,35,5,0,45,102,7,3,112,1,0,25,2,0,10,5,2,29,1,0,0,1,2,9,0,0,1,24
國立,宜蘭縣,4009,153,4,53,20,50,5,2,19,3504,728,28,2650,17,5,1,1,0,1,27,40,6,0,316,3,1,20,5,0,16,35,8,66,2,1,0,10,7,35,1,4,22,80
國立,桃園縣,7103,130,0,25,35,65,3,1,1,6857,3180,10,3514,32,18,0,1,0,5,9,56,31,1,109,0,0,21,1,0,5,3,2,25,2,1,0,5,23,6,0,0,5,10
國立,新竹縣,1508,30,0,7,7,15,0,0,1,1442,502,4,910,11,2,0,0,0,0,4,7,2,0,36,2,0,2,1,0,1,4,0,13,0,0,0,0,0,0,1,0,0,12
國立,苗栗縣,3168,76,3,12,12,45,0,2,2,2949,548,121,2161,51,10,4,1,0,0,8,43,1,1,130,1,2,30,10,1,7,3,1,21,2,0,0,2,6,23,0,0,3,18
國立,彰化縣,8191,236,14,69,33,103,2,2,13,7565,2925,148,4029,274,19,8,11,1,0,67,58,8,17,367,30,18,86,7,0,12,23,6,48,2,1,0,26,9,5,2,5,9,78
