,,,畢業生總計,未升學未就業總計,正在接受職業訓練,正在軍中服役,需要工作而未找到,補習或準備升學,健康不良在家休養,準備出國,其他原因,已升學總計,公立大學日間部,公立大學進修學士班,私立大學日間部,私立大學進修學士班,公立二專日間部,公立二專夜間部,私立二專日間部,私立二專夜間部,警察大學,警察專科學校,軍事院校,赴國外或大陸就讀,其他學校,已就業總計,農、林、漁、牧業,礦業及土石採取業,製造業,電力及燃氣供應業,用水供應及污染整治業,營造業,批發及零售業,運輸及倉儲業,住宿及餐飲業,資訊及通訊傳播業,金融及保險業,不動產業,專業、科學及技術服務業,支援服務業,公共行政及國防；強制性社會安全,教育服務業,醫療保健及社會工作服務業,藝術、娛樂及休閒服務業,其他服務業
國立,綜合高中,家政群,108,1,0,0,0,0,0,1,0,92,5,4,80,3,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,11
國立,綜合高中,餐旅群,566,31,0,20,4,2,1,0,4,458,79,6,355,6,1,0,3,1,0,0,7,0,0,74,1,1,0,2,0,1,6,0,29,0,0,0,1,1,11,0,0,6,15
國立,綜合高中,水產群,28,2,0,0,0,0,0,0,2,14,11,0,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1
國立,綜合高中,海事群,19,2,0,0,0,0,0,0,2,16,9,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
國立,綜合高中,藝術群,9,1,0,1,0,0,0,0,0,6,1,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
國立,綜合高中,綜合職能群,11,1,0,0,0,1,0,0,0,10,1,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國立,實用技能學程,機械群,437,37,2,18,2,2,2,1,10,252,18,20,148,61,0,0,0,2,0,0,2,1,0,138,8,1,44,2,0,2,13,1,17,1,0,0,11,14,16,0,0,2,6
國立,實用技能學程,動力機械群,167,28,0,17,9,0,0,0,2,61,5,2,31,22,0,0,0,1,0,0,0,0,0,75,1,1,10,2,0,3,4,7,7,2,0,0,14,5,11,0,0,0,8
國立,實用技能學程,電機與電子群,762,105,7,66,16,4,0,0,12,386,24,41,163,132,0,11,10,2,0,1,2,0,0,262,30,19,75,12,1,9,7,10,30,5,0,0,12,0,16,0,1,5,30
國立,實用技能學程,土木與建築群,132,9,0,7,2,0,0,0,0,97,9,9,59,19,1,0,0,0,0,0,0,0,0,26,3,4,1,2,0,5,0,0,3,0,1,0,4,1,0,0,1,0,1
國立,實用技能學程,商業與管理群,677,42,7,21,5,1,1,0,7,430,14,17,287,104,5,2,1,0,0,0,0,0,0,199,3,0,19,3,0,6,25,6,28,3,1,0,23,2,25,1,6,16,32
國立,實用技能學程,設計群,167,19,2,10,3,2,0,0,2,97,6,2,57,27,2,1,0,0,0,0,2,0,0,48,0,0,5,0,0,1,9,1,13,0,0,0,3,0,1,0,2,0,13
國立,實用技能學程,農業群,181,21,0,12,3,2,1,0,3,123,9,6,75,20,7,3,0,0,0,0,3,0,0,33,9,0,1,1,0,0,3,1,10,0,1,0,1,2,1,1,0,1,1
國立,實用技能學程,食品群,285,30,1,19,7,0,0,0,3,168,7,6,81,61,0,0,8,0,0,0,5,0,0,79,2,0,19,1,0,1,3,1,40,1,0,0,2,1,1,0,0,1,6
國立,實用技能學程,餐旅群,423,27,1,5,13,3,1,0,4,264,9,2,182,69,0,0,2,0,0,0,0,0,0,125,3,0,5,1,0,4,6,6,59,0,1,1,1,2,11,1,0,5,19
國立,實用技能學程,水產群,35,2,0,2,0,0,0,0,0,26,14,2,8,2,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
國立,實用技能學程,海事群,62,15,0,15,0,0,0,0,0,35,7,0,24,4,0,0,0,0,0,0,0,0,0,12,3,0,5,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
國立,實用技能學程,美容造型群,152,11,0,2,8,0,0,0,1,90,1,1,55,18,5,2,8,0,0,0,0,0,0,49,0,0,2,2,0,0,4,6,7,0,0,0,12,0,0,1,1,3,11
縣市立,普通科,普通科,40753,987,8,106,16,726,4,35,92,39383,15200,123,22972,248,11,1,5,0,33,224,342,222,2,274,5,0,10,4,0,8,13,3,31,3,0,1,8,2,99,5,3,25,54
縣市立,職業科,機械群,1852,39,2,6,0,22,0,0,9,1760,652,37,954,98,2,2,0,3,0,0,10,1,1,49,0,0,10,0,0,0,2,0,12,0,0,0,7,6,1,0,1,3,7
縣市立,職業科,動力機械群,670,21,0,10,1,10,0,0,0,619,207,12,339,49,3,0,0,5,0,1,3,0,0,29,0,0,0,1,0,5,0,0,4,0,0,0,9,3,2,0,0,0,5
縣市立,職業科,電機與電子群,3001,74,1,19,0,47,0,1,6,2887,1207,42,1516,91,5,2,0,0,0,2,20,2,0,32,0,0,2,0,0,1,0,0,7,0,3,0,9,3,1,0,0,0,6
縣市立,職業科,化工群,170,2,0,2,0,0,0,0,0,166,112,2,51,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,職業科,土木與建築群,448,7,0,2,0,3,0,2,0,432,208,7,193,17,7,0,0,0,0,0,0,0,0,9,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,4
縣市立,職業科,商業與管理群,2566,43,1,7,2,24,0,4,5,2484,993,183,1219,71,1,2,0,0,0,0,9,3,3,22,1,0,0,0,0,0,0,0,7,0,1,0,0,0,2,0,1,4,6
縣市立,職業科,外語群,254,9,0,1,0,1,2,5,0,242,110,3,115,12,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
縣市立,職業科,設計群,1175,28,1,3,0,20,0,1,3,1129,269,21,806,27,0,0,0,2,0,0,3,1,0,10,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,4,2
縣市立,職業科,農業群,112,2,0,0,0,2,0,0,0,110,69,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,職業科,食品群,79,3,0,0,0,3,0,0,0,76,46,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,職業科,家政群,142,5,1,0,0,4,0,0,0,134,52,0,80,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
縣市立,職業科,餐旅群,238,2,0,0,0,2,0,0,0,232,107,0,124,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
縣市立,職業科,藝術群,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,職業科,綜合職能群,265,67,9,0,34,0,14,0,10,25,2,0,23,0,0,0,0,0,0,0,0,0,0,173,1,0,18,0,0,0,11,9,44,0,1,0,2,15,0,0,1,1,70
縣市立,綜合高中,學術群,2409,56,0,4,0,43,0,4,5,2336,532,9,1733,28,1,0,1,0,0,11,16,4,1,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,7
