,,,"畢業生
總計","未升學
未就業
計",正在接受職業訓練,"正在軍中
服役","需要工作
而未找到","補習或
準備升學","健康不良
在家休養",準備出國,"其他
"
私立,綜合高中,電機與電子群,1311,46,1,26,2,7,4,0,6
私立,綜合高中,化工群,170,0,0,0,0,0,0,0,0
私立,綜合高中,商業與管理群,2623,84,4,25,23,11,1,2,18
私立,綜合高中,外語群,1243,16,1,3,2,6,0,2,2
私立,綜合高中,設計群,794,22,1,9,4,7,0,0,1
私立,綜合高中,家政群,609,34,1,4,14,3,1,0,11
私立,綜合高中,餐旅群,1570,73,7,32,21,3,2,0,8
私立,綜合高中,藝術群,18,1,0,1,0,0,0,0,0
私立,綜合高中,綜合職能群,278,17,2,9,3,1,0,0,2
私立,實用技能學程,機械群,79,20,0,18,0,0,0,0,2
私立,實用技能學程,動力機械群,1140,230,1,134,45,12,3,0,35
私立,實用技能學程,電機與電子群,643,91,0,42,32,0,3,0,14
私立,實用技能學程,土木與建築群,17,0,0,0,0,0,0,0,0
私立,實用技能學程,商業與管理群,1357,176,1,83,52,5,7,1,27
私立,實用技能學程,設計群,96,11,0,2,9,0,0,0,0
私立,實用技能學程,食品群,140,30,1,1,27,0,0,1,0
私立,實用技能學程,餐旅群,3719,490,10,188,209,13,10,2,58
私立,實用技能學程,美容造型群,1517,177,21,22,92,11,8,0,23
