表1-2-10 高級中等學校畢業生就業情況—按群別分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102 學年度 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人；％,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,人數,,,,,,,,,,,,,,,,,,,,,比率,,,,,,,,,,,,,,,,,,,,,
,,,綜合,"1,562",946,29,6,126,4,1,17,96,17,231, -,2, -,36,122, -,3,10,24,222,100.00,60.56,1.86,0.38,8.07,0.26,0.06,1.09,6.15,1.09,14.79, -,0.13, -,2.30,7.81, -,0.19,0.64,1.54,14.21,
,綜合高中,,,"25,420","1,055",15,2,87,11,1,33,54,18,240,12,1,1,22,38,256,6,3,64,191,100.00,4.15,0.06,0.01,0.34,0.04,0.00,0.13,0.21,0.07,0.94,0.05,0.00,0.00,0.09,0.15,1.01,0.02,0.01,0.25,0.75,
,,學術群,,"10,853",101,2, -,1, -, -,2,10, -,21,1, -, -,1,4,18, -, -,5,36,100.00,0.93,0.02, -,0.01, -, -,0.02,0.09, -,0.19,0.01, -, -,0.01,0.04,0.17, -, -,0.05,0.33,
,,專門學群,,"14,567",954,13,2,86,11,1,31,44,18,219,11,1,1,21,34,238,6,3,59,155,100.00,6.55,0.09,0.01,0.59,0.08,0.01,0.21,0.30,0.12,1.50,0.08,0.01,0.01,0.14,0.23,1.63,0.04,0.02,0.41,1.06,
,,,機械群,347,50,3, -,4,1, -,2,1,1,1, -, -, -,1,3,12,1, -, -,20,100.00,14.41,0.86, -,1.15,0.29, -,0.58,0.29,0.29,0.29, -, -, -,0.29,0.86,3.46,0.29, -, -,5.76,
,,,動力機械群,128,39, -, -,8, -, -,9, -, -,6, -, -, -,5, -, -, -, -, -,11,100.00,30.47, -, -,6.25, -, -,7.03, -, -,4.69, -, -, -,3.91, -, -, -, -, -,8.59,
,,,電機與電子群,"1,970",134,3, -,26,5,1,4,4,9,15,4, -, -,1,3,39, -, -,4,16,100.00,6.80,0.15, -,1.32,0.25,0.05,0.20,0.20,0.46,0.76,0.20, -, -,0.05,0.15,1.98, -, -,0.20,0.81,
,,,化工群,323,4, -, -, -, -, -, -, -, -,1, -, -, -, -, -,2, -, -, -,1,100.00,1.24, -, -, -, -, -, -, -, -,0.31, -, -, -, -, -,0.62, -, -, -,0.31,
,,,土木與建築群,325,7, -, -, -, -, -,1, -, -, -, -, -, -, -, -,4, -, -, -,2,100.00,2.15, -, -, -, -, -,0.31, -, -, -, -, -, -, -, -,1.23, -, -, -,0.62,
,,,商業與管理群,"4,839",229,1,1,25,2, -,9,17,5,36,6, -, -,2,7,73, -,1,15,29,100.00,4.73,0.02,0.02,0.52,0.04, -,0.19,0.35,0.10,0.74,0.12, -, -,0.04,0.14,1.51, -,0.02,0.31,0.60,
,,,外語群,"1,573",38, -, -,2, -, -, -,2, -,8,1,1,1, -,4,12,1,1,3,2,100.00,2.42, -, -,0.13, -, -, -,0.13, -,0.51,0.06,0.06,0.06, -,0.25,0.76,0.06,0.06,0.19,0.13,
,,,設計群,"1,331",30,1, -,5,1, -, -,6, -,3, -, -, -, -,2,4, -,1,5,2,100.00,2.25,0.08, -,0.38,0.08, -, -,0.45, -,0.23, -, -, -, -,0.15,0.30, -,0.08,0.38,0.15,
,,,農業群,114,10,2, -, -, -, -, -,1, -, -, -, -, -,1, -,3, -, -, -,3,100.00,8.77,1.75, -, -, -, -, -,0.88, -, -, -, -, -,0.88, -,2.63, -, -, -,2.63,
,,,食品群,279,24, -, -,2, -, -, -, -, -,4, -, -, -,1,2,6, -, -,2,7,100.00,8.60, -, -,0.72, -, -, -, -, -,1.43, -, -, -,0.36,0.72,2.15, -, -,0.72,2.51,
