表1-2-5 高級中等學校畢業生升學情形—按縣市別分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102 學年度 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人；％,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,人數,,,,,,,,,,,,,,,比率,,,,,,,,,,,,,,,
,,,"畢業生
,,新竹縣,199,192,49,2,135,3, -, -, -, -, -,1,2, -, -,100.00,96.48,24.62,1.01,67.84,1.51, -, -, -, -, -,0.50,1.01, -, -,
,,苗栗縣,382,369,51,5,306,4, -, -, -, -, -,1,2, -, -,100.00,96.60,13.35,1.31,80.10,1.05, -, -, -, -, -,0.26,0.52, -, -,
,,彰化縣,605,563,89,3,438,20, -, -, -, -, -,1,12, -, -,100.00,93.06,14.71,0.50,72.40,3.31, -, -, -, -, -,0.17,1.98, -, -,
,,南投縣,268,256,58, -,189, -, -, -, -, -, -, -,6,3, -,100.00,95.52,21.64, -,70.52, -, -, -, -, -, -, -,2.24,1.12, -,
,,雲林縣,381,362,62,10,264,6, -, -,1, -, -,1,11,7, -,100.00,95.01,16.27,2.62,69.29,1.57, -, -,0.26, -, -,0.26,2.89,1.84, -,
,,嘉義縣,187,170,44,1,116, -, -, -, -, -, -,6,3, -, -,100.00,90.91,23.53,0.53,62.03, -, -, -, -, -, -,3.21,1.60, -, -,
,,屏東縣,568,480,99,3,335,7,3, -, -, -, -,11,22, -, -,100.00,84.51,17.43,0.53,58.98,1.23,0.53, -, -, -, -,1.94,3.87, -, -,
,,臺東縣,14,5,2, -,3, -, -, -, -, -, -, -, -, -, -,100.00,35.71,14.29, -,21.43, -, -, -, -, -, -, -, -, -, -,
,,花蓮縣,43,30,19,2,9, -, -, -, -, -, -, -, -, -, -,100.00,69.77,44.19,4.65,20.93, -, -, -, -, -, -, -, -, -, -,
,,澎湖縣, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
,,基隆市,371,358,83, -,235,27, -, -, -, -, -,1,11,1, -,100.00,96.50,22.37, -,63.34,7.28, -, -, -, -, -,0.27,2.96,0.27, -,
,,新竹市,817,798,213,3,568,3, -, -, -,2, -,2,6,1, -,100.00,97.67,26.07,0.37,69.52,0.37, -, -, -,0.24, -,0.24,0.73,0.12, -,
,,嘉義市, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
,,金門縣, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
,,連江縣, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
私立,,,"120,331","96,008","10,658","1,591","71,064","9,115",228,241,515,618,33,163,817,791,174,100.00,79.79,8.86,1.32,59.06,7.57,0.19,0.20,0.43,0.51,0.03,0.14,0.68,0.66,0.14,
