表1-2-6 高級中等學校畢業生就業情況—按縣市別分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102 學年度 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人；％,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,人數,,,,,,,,,,,,,,,,,,,,,比率,,,,,,,,,,,,,,,,,,,,,
,基隆市,,"4,720",231, -, -,13,1, -,3,18,6,58,7, -, -,1,7,7, -,4,3,103,100.00,4.89, -, -,0.28,0.02, -,0.06,0.38,0.13,1.23,0.15, -, -,0.02,0.15,0.15, -,0.08,0.06,2.18,
,新竹市,,"6,113",241,2,2,33,2, -,3,1,6,101,1, -,1,22,28,2,3,2,4,28,100.00,3.94,0.03,0.03,0.54,0.03, -,0.05,0.02,0.10,1.65,0.02, -,0.02,0.36,0.46,0.03,0.05,0.03,0.07,0.46,
,嘉義市,,"6,707",579,13, -,86,2, -,4,38,11,107,2,1, -,11,5,37,3,2,21,236,100.00,8.63,0.19, -,1.28,0.03, -,0.06,0.57,0.16,1.60,0.03,0.01, -,0.16,0.07,0.55,0.04,0.03,0.31,3.52,
,金門縣,,637,47,1, -, -,1, -,2,2,2,5,1, -, -, -,1,9, -, -,1,22,100.00,7.38,0.16, -, -,0.16, -,0.31,0.31,0.31,0.78,0.16, -, -, -,0.16,1.41, -, -,0.16,3.45,
,連江縣,,108,5, -, -, -, -, -, -, -, -, -, -, -, -, -, -,4, -, -, -,1,100.00,4.63, -, -, -, -, -, -, -, -, -, -, -, -, -, -,3.70, -, -, -,0.93,
國立,,,"79,112","3,908",180,41,524,62,6,123,275,79,766,38,9,2,192,164,679,16,30,128,594,100.00,4.94,0.23,0.05,0.66,0.08,0.01,0.16,0.35,0.10,0.97,0.05,0.01,0.00,0.24,0.21,0.86,0.02,0.04,0.16,0.75,
,新北市,,504,5, -, -, -, -, -, -, -, -,3, -, -, -, -, -, -, -, -,2, -,100.00,0.99, -, -, -, -, -, -, -, -,0.60, -, -, -, -, -, -, -, -,0.40, -,
,臺北市,,"1,355",13, -, -, -, -, -, -, -, -, -,1,1, -, -, -,1, -, -,5,5,100.00,0.96, -, -, -, -, -, -, -, -, -,0.07,0.07, -, -, -,0.07, -, -,0.37,0.37,
,臺中市,,"11,254",452,11,3,93,2, -,11,32,7,120,1,1,1,50,24,4,8,5,5,74,100.00,4.02,0.10,0.03,0.83,0.02, -,0.10,0.28,0.06,1.07,0.01,0.01,0.01,0.44,0.21,0.04,0.07,0.04,0.04,0.66,
,臺南市,,"10,825",512,19,1,106,9,1,14,34,12,73,4, -, -,19,51,105,1,1,9,53,100.00,4.73,0.18,0.01,0.98,0.08,0.01,0.13,0.31,0.11,0.67,0.04, -, -,0.18,0.47,0.97,0.01,0.01,0.08,0.49,
,高雄市,,"4,585",112,1, -,25,2, -,10,5,2,29,1, -, -,1,2,9, -, -,1,24,100.00,2.44,0.02, -,0.55,0.04, -,0.22,0.11,0.04,0.63,0.02, -, -,0.02,0.04,0.20, -, -,0.02,0.52,
,宜蘭縣,,"4,009",316,3,1,20,5, -,16,35,8,66,2,1, -,10,7,35,1,4,22,80,100.00,7.88,0.07,0.02,0.50,0.12, -,0.40,0.87,0.20,1.65,0.05,0.02, -,0.25,0.17,0.87,0.02,0.10,0.55,2.00,
,桃園縣,,"7,103",109, -, -,21,1, -,5,3,2,25,2,1, -,5,23,6, -, -,5,10,100.00,1.53, -, -,0.30,0.01, -,0.07,0.04,0.03,0.35,0.03,0.01, -,0.07,0.32,0.08, -, -,0.07,0.14,
,新竹縣,,"1,508",36,2, -,2,1, -,1,4, -,13, -, -, -, -, -, -,1, -, -,12,100.00,2.39,0.13, -,0.13,0.07, -,0.07,0.27, -,0.86, -, -, -, -, -, -,0.07, -, -,0.80,
,苗栗縣,,"3,168",130,1,2,30,10,1,7,3,1,21,2, -, -,2,6,23, -, -,3,18,100.00,4.10,0.03,0.06,0.95,0.32,0.03,0.22,0.09,0.03,0.66,0.06, -, -,0.06,0.19,0.73, -, -,0.09,0.57,
,彰化縣,,"8,191",367,30,18,86,7, -,12,23,6,48,2,1, -,26,9,5,2,5,9,78,100.00,4.48,0.37,0.22,1.05,0.09, -,0.15,0.28,0.07,0.59,0.02,0.01, -,0.32,0.11,0.06,0.02,0.06,0.11,0.95,
,南投縣,,"3,621",217,14,3,10,2, -,5,15,3,54,1,2, -,14,13,26, -, -,7,48,100.00,5.99,0.39,0.08,0.28,0.06, -,0.14,0.41,0.08,1.49,0.03,0.06, -,0.39,0.36,0.72, -, -,0.19,1.33,
,雲林縣,,"3,657",234,33,1,35,5, -,8,17,7,36,9, -, -,4,3,24, -, -,18,34,100.00,6.40,0.90,0.03,0.96,0.14, -,0.22,0.46,0.19,0.98,0.25, -, -,0.11,0.08,0.66, -, -,0.49,0.93,
,嘉義縣,,"1,029",87,6, -,14, -, -,7,7,2,7, -, -, -,12, -,25, -,2,1,4,100.00,8.45,0.58, -,1.36, -, -,0.68,0.68,0.19,0.68, -, -, -,1.17, -,2.43, -,0.19,0.10,0.39,
,屏東縣,,"4,211",399,25,10,36,6,2,8,19,7,77,3,1,1,9,12,120, -,1,18,44,100.00,9.48,0.59,0.24,0.85,0.14,0.05,0.19,0.45,0.17,1.83,0.07,0.02,0.02,0.21,0.28,2.85, -,0.02,0.43,1.04,
,臺東縣,,"1,453",183,8,1,8,3, -,7,25,7,36,2, -, -,9,5,66, -,3,1,2,100.00,12.59,0.55,0.07,0.55,0.21, -,0.48,1.72,0.48,2.48,0.14, -, -,0.62,0.34,4.54, -,0.21,0.07,0.14,
,花蓮縣,,"2,193",298,20,1,20,1, -,2,8, -,75,2,1, -,4,6,104, -,1,13,40,100.00,13.59,0.91,0.05,0.91,0.05, -,0.09,0.36, -,3.42,0.09,0.05, -,0.18,0.27,4.74, -,0.05,0.59,1.82,
,澎湖縣,,800,175,5, -,1,7,2,4,20,1,21,3, -, -,7, -,86,1,4,3,10,100.00,21.88,0.63, -,0.13,0.88,0.25,0.50,2.50,0.13,2.63,0.38, -, -,0.88, -,10.75,0.13,0.50,0.38,1.25,
,基隆市,,"2,411",70, -, -,1, -, -,3,18,6,21,2, -, -,1,1,7, -,4,1,5,100.00,2.90, -, -,0.04, -, -,0.12,0.75,0.25,0.87,0.08, -, -,0.04,0.04,0.29, -,0.17,0.04,0.21,
,新竹市,,"2,707",40, -, -,6, -, -, -,1,4,16, -, -, -,9, -, -,1, -,2,1,100.00,1.48, -, -,0.22, -, -, -,0.04,0.15,0.59, -, -, -,0.33, -, -,0.04, -,0.07,0.04,
,嘉義市,,"3,783",101,1, -,10, -, -,1,4,2,20, -, -, -,10,1,20,1, -,2,29,100.00,2.67,0.03, -,0.26, -, -,0.03,0.11,0.05,0.53, -, -, -,0.26,0.03,0.53,0.03, -,0.05,0.77,
,金門縣,,637,47,1, -, -,1, -,2,2,2,5,1, -, -, -,1,9, -, -,1,22,100.00,7.38,0.16, -, -,0.16, -,0.31,0.31,0.31,0.78,0.16, -, -, -,0.16,1.41, -, -,0.16,3.45,
,連江縣,,108,5, -, -, -, -, -, -, -, -, -, -, -, -, -, -,4, -, -, -,1,100.00,4.63, -, -, -, -, -, -, -, -, -, -, -, -, -, -,3.70, -, -, -,0.93,
縣市立,,,"55,876",805,7, -,68,9, -,40,40,14,161,6,7,1,52,34,123,5,8,39,191,100.00,1.44,0.01, -,0.12,0.02, -,0.07,0.07,0.03,0.29,0.01,0.01,0.00,0.09,0.06,0.22,0.01,0.01,0.07,0.34,
